,SMILES,Experimental LogP,Predicted LogP,Deviation
0,CCOC(=O)N1CCN(C(=O)CN2C(=O)c3ccccc3S2(=O)=O)CC1,-0.16,-0.47,0.31
1,CN(C)Cc1cc(C(F)(F)F)ccc1C(O)(c1ccccc1)c1ccccc1,5.46,5.21,0.25
2,NCCc1nc(-c2ccccc2)cs1,2.1,2.23,-0.13
3,COC[C@@H](c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,2.8,3.89,-1.09
4,Nn1c(Cc2ccccc2)nnc1Cc1ccccc1,1.84,2.39,-0.55
5,Cc1ccc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cc1,3.59,3.97,-0.38
6,c1ccc2c(c1)cnc1ccccc12,3.12,2.94,0.18
7,O=C(Oc1cccnc1O)c1cccc(Cl)c1,3.96,3.21,0.75
8,O=C(/C=C/C(=O)N1CCc2ccccc2C1)N1CCc2ccccc2C1,2.77,2.85,-0.08
9,c1ccc2c(c1)-c1cccc3cncc-2c13,3.07,3.74,-0.67
10,CCOP(=O)(Nc1ccc(C)cn1)OCC,1.65,1.89,-0.24
11,CCCCCC(=O)N1CCCC1,1.86,1.69,0.17
12,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.38,4.35,0.03
13,O=C(CN1CCN(c2ccccn2)CC1)N1c2ccccc2CCc2ccccc21,4.3,4.43,-0.13
14,COc1ccc2c(c1)CCCN2C(=N)Nc1ccc(Cl)cc1,4.23,3.43,0.8
15,CCOC(=O)[C@@H](N)Cc1ccc(O)c(O)c1,0.97,1.17,-0.2
16,Oc1c(Cl)cc(Cl)c2cccnc12,3.04,3.03,0.01
17,NC[C@@H]1O[C@H](c2ccccc2)Cc2c1ccc(O)c2O,1.87,2.14,-0.27
18,Cc1ccc2nc(-c3ccc(N4CCOCC4)cc3)c(Nc3ccccc3C)n2c1,5.24,4.89,0.35
19,c1ccc2oc(SCc3cn4ccsc4n3)nc2c1,2.95,3.04,-0.09
20,O=C1c2ccccc2C(=O)c2c(NCCNCCO)ccc(O)c21,1.87,1.37,0.5
21,CCN1CCN(c2cc(C)c3cc(NC(S)=NCCCOC)ccc3n2)CC1,3.53,3.31,0.22
22,CCN(Cc1nc2ccccc2n1C)c1ccccc1,3.75,3.51,0.24
23,Oc1ccc(-c2nc3ncccn3c2Nc2ccc(Cl)cc2)cc1,3.67,4.14,-0.47
24,OCCCCc1nccc2c1[nH]c1ccccc12,2.16,2.33,-0.17
25,CC(C)(C)C1CCC2(CC1)CCN(CCCN1CCOCC1)CC2,3.68,3.93,-0.25
26,O=C1OC(c2ccccc2)=N/C1=C\c1ccc(N(CCCl)CCCl)cc1,5.28,5.1,0.18
27,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,-0.49,-0.47,-0.02
28,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,5.88,5.85,0.03
29,CCc1cccc(C)c1Nc1c(-c2cccc(O)c2)nc2nc(C)cc(C)n12,4.87,5.33,-0.46
30,CC1(C)C(=O)N(CCN2CCC(C(=O)c3ccc(F)cc3)CC2)c2ccccc21,4.02,3.74,0.28
31,O=C(COc1cc(O)c2c(=O)c3ccccc3oc2c1)OCc1ccccc1,4.5,4.35,0.15
32,c1ccc(-c2nc3ccccc3s2)nc1,3.31,3.48,-0.17
33,CNCC/C=C/c1cccnc1,1.21,1.29,-0.08
34,COc1ccc(-c2nnc(SCC(=O)N3CCC(C)CC3)o2)cc1,2.08,2.49,-0.41
35,Cc1cc(C)nc(Nc2nc3ccccc3[nH]2)n1,2.4,2.87,-0.47
36,COc1cc(-c2nc3ccc(Cl)cn3c2Nc2ccc3c(c2)OCO3)ccc1O,4.09,3.98,0.11
37,O=C(O)CSc1nnc(-c2ccc(Cl)cc2Cl)n1Cc1ccccc1,4.55,3.67,0.88
38,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.23,3.15,0.08
39,c1ccc2cc(CC3=NCCN3)ccc2c1,2.19,2.51,-0.32
40,Fc1ccc(N2CCN(Cc3nnc(-c4ccccc4)o3)CC2)cc1,2.87,3.14,-0.27
41,CCS(=O)(=O)N1CCC[C@@H]2CN3CCc4cc(OC)ccc4[C@@H]3C[C@@H]21,1.56,1.91,-0.35
42,OCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,2.05,1.75,0.3
43,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,3.31,3.09,0.22
44,CN(C)c1ccc(-c2nc3ccccc3s2)cc1,4.25,4.12,0.13
45,Cn1ccnc1SCC(=O)c1ccc([N+](=O)[O-])cc1,2.25,1.36,0.89
46,Clc1ccc([C@H](Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1,5.96,5.61,0.35
47,CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,1.1,1.08,0.02
48,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,2.03,2.07,-0.04
49,COc1ccccc1NC(=O)c1ccc(CSc2ncccn2)cc1,3.91,3.62,0.29
50,CCOC(=O)c1c(C)[nH]c2cc(Br)c(O)cc12,3.1,3.25,-0.15
51,N#Cc1cccc2sc(C(=O)NC(=N)N)cc12,1.41,0.81,0.6
52,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,2.31,2.81,-0.5
53,O=CN1CC/C(=C/c2ccc3c(c2)OCO3)C1=O,1.04,1.1,-0.06
54,CN1CCN(CCNc2ccc(CO)c3sc4ccccc4c(=O)c23)CC1,2.87,2.3,0.57
55,O=C(O)c1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1,2.45,1.92,0.53
56,O=C(O)CSc1c(O)nc2ccc(Cl)cc2c1-c1ccccc1,4.47,4.18,0.29
57,COC(=O)c1ccccc1OCc1cc(=O)oc2ccc(C)cc12,3.65,3.89,-0.24
58,COC(=O)C1=CC(=O)N2CCN=C2S1,0.34,0.13,0.21
59,c1ccc2c3c([nH]c2c1)CNCC3,1.59,1.75,-0.16
60,CCc1c(C(=O)OC)ncc2[nH]c3cc(OC)c(OC)cc3c12,2.71,2.53,0.18
61,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,4.94,4.66,0.28
62,CC(C)(C)C(=O)Nc1ccc(NC(=O)C(C)(C)C)cc1,4.05,3.48,0.57
63,CCOC(Cn1c(-c2ccc(OC)cc2)nc2ccccc21)OCC,4.3,3.79,0.51
64,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,2.44,2.21,0.23
65,COc1cc(/C=C2\CCCN([C@@H](C)c3ccc(F)cc3)C2=O)ccc1-n1cnc(C)c1,4.16,3.97,0.19
66,Cn1c(C(=O)N2CCN(c3ccccn3)CC2)cc2c(=O)n(C)c3ccccc3c21,2.16,1.97,0.19
67,CSc1ccc(-c2nc3ncccn3c2Nc2ccc(C)c(C)c2)cc1,5.02,5.09,-0.07
68,Fc1ccc(CN(C2=NCCN2)c2c(Cl)cccc2Cl)cc1,4.52,4.05,0.47
69,CC(C)(C)c1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1,4.58,3.97,0.61
70,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,2.82,2.91,-0.09
71,CCCN(CCC)[C@H]1CCc2cccc(OC)c2C1,4.35,4.08,0.27
72,Cn1cc(SCC(=O)N2CCCc3ccccc32)c2ccccc21,3.87,4.06,-0.19
73,Cn1cnnc1SCC(=O)Nc1ccc(F)cc1,1.17,1.42,-0.25
74,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,2.86,2.78,0.08
75,c1ccc(-c2nnc(-c3ccncc3)o2)cc1,1.79,2.36,-0.57
76,Cc1ccn2c(Nc3ccc4c(c3)OCCO4)c(-c3ccc(N(C)C)cc3)nc2c1,4.46,3.93,0.53
77,c1ccc(-c2nc(N3CCCCCC3)c3ccccc3n2)cc1,5.83,4.84,0.99
78,Nc1ccc2c(c1Cl)C(=O)c1ccc(N)c(Cl)c1C2=O,2.47,2.6,-0.13
79,CC1(O)C=CC(=O)C=C1,0.69,0.21,0.48
80,CC(C)OC(=O)N1CCC(Oc2ncnc3c2cnn3-c2ccc(S(C)(=O)=O)cc2F)CC1,1.59,2.02,-0.43
81,CCCCN(CC)C(=O)Cn1nc(Cc2ccncc2)c2ccccc2c1=O,2.47,2.53,-0.06
82,C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,5.53,5.39,0.14
83,C1=C2CCCN[C@H]2[C@@H]2C[C@H]1[C@H]1CCCCN1C2,1.65,1.84,-0.19
84,CCOc1cc(C)c(C(C)C)cc1S(=O)(=O)NCc1ccccn1,3.35,3.13,0.22
85,CCN(CC)CCNC(=O)c1ccc(CS(=O)(=O)c2ccc(Br)cc2)o1,2.25,2.42,-0.17
86,Cc1sc(NC(=O)c2ccco2)c(CN2CCN(c3ccc(F)cc3)CC2)c1C,5.05,4.27,0.78
87,C#CCNc1ccc(C(=O)OCC)cc1,2.03,2.64,-0.61
88,CN(C(=O)Cc1ccccc1)[C@H](CN1CCCC1)c1ccccc1,3.46,3.04,0.42
89,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,4.15,4.23,-0.08
90,N#Cc1ncc(Cl)c2ccccc12,2.59,2.77,-0.18
91,Cc1nc2cc(NS(=O)(=O)c3cccc4cccnc34)ccc2s1,2.88,3.7,-0.82
92,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,3.36,3.12,0.24
93,N#C/C(=C\c1ccc[nH]1)C(=O)c1ccccc1,2.7,2.43,0.27
94,CC(C)(C)NC[C@@H](O)COc1cccc2c1CCCC2=O,2.18,1.5,0.68
95,Cc1c(-c2cccc(NC(=O)c3cccs3)c2)nc2ncccn12,3.04,3.11,-0.07
96,O=C(c1cccnc1)N1CCN(c2ccccc2Cl)CC1,2.4,2.51,-0.11
97,CN(C)S(=O)(=O)N1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,-0.27,0.36,-0.63
98,Cc1cc(C(=O)NCCCN2CCN(c3cc(Cl)ccc3C)CC2)n(-c2ccccc2)n1,4.12,4.2,-0.08
99,C[C@H](NC[C@H](O)CP(=O)(O)Cc1ccccc1)c1ccc(Cl)c(Cl)c1,2.15,3.25,-1.1
100,COc1ccc(/C=C/C(=O)c2c(OC)cc(O)cc2OC)cc1,3.11,3.57,-0.46
101,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC,3.59,3.27,0.32
102,O=C(O)CNS(=O)(=O)c1cccc2nsnc12,0.42,-1.07,1.49
103,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,3.36,3.86,-0.5
104,N#CC(C#N)=Cc1ccc(O)c(O)c1,1.57,2.06,-0.49
105,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3O2)cc1O,-0.31,-1.01,0.7
106,O=c1c2ccccc2ncn1-c1ccc(Cl)cc1,3.21,3.28,-0.07
107,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12,2.75,2.23,0.52
108,O=[N+]([O-])c1ccc(NN=C(c2ccccc2)c2ccccc2)nc1,4.86,4.39,0.47
109,COc1ccc(-c2nc3cc(F)ccc3s2)cc1OC,3.97,3.81,0.16
110,COc1cc(C[C@H](C)N)c(OC)cc1I,2.42,2.7,-0.28
111,C(=N\NC1=NCCN1)\c1c2ccccc2c(/C=N\NC2=NCCN2)c2ccccc12,2.6,2.57,0.03
112,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,4.62,4.71,-0.09
113,COc1cc(Cl)c(CC(=O)c2c[nH]c3ccccc23)cc1OC,3.75,3.52,0.23
114,O=[N+]([O-])/C=C/c1cc2ccccc2[nH]1,2.16,1.82,0.34
115,NCCSSCc1ccccc1CSSCCN,2.02,3.19,-1.17
116,COC(=O)c1ccccc1NC(=O)c1ccc(F)cc1,3.86,3.44,0.42
117,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1,4.2,3.66,0.54
118,CC(C)Oc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,3.93,3.97,-0.04
119,COc1ccc(S(=O)(=O)Nc2cccnc2Nc2ccc(O)cc2)cc1,2.82,3.39,-0.57
120,Clc1nccc2c1ccc1ccccc12,3.56,4.31,-0.75
121,CN(C)C(=O)/N=N/C(=O)N(C)C,-0.95,-1.14,0.19
122,O=C(NCc1ccccn1)C(=O)Nc1nccs1,0.52,-0.11,0.63
123,CCC1=C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13,3.19,2.92,0.27
124,Nc1ccc(C(=O)Nc2cccc(N)c2)cc1,1.41,1.38,0.03
125,O=C(c1cc2ccccc2[nH]1)N1CCOCC1,1.07,1.24,-0.17
126,Cc1cc2cc(CN3C(=O)c4ccccc4C3=O)ccc2[nH]1,2.94,2.9,0.04
127,c1ccc(-n2nnnc2-c2cccc3ccccc23)cc1,4.02,3.63,0.39
128,c1ccc2nc(OCCN3CC3)ccc2c1,2.41,2.08,0.33
129,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,3.61,2.8,0.81
130,O=C(Nc1cccc2c1N(C(=O)c1ccco1)CCC2)c1ccco1,2.63,2.38,0.25
131,O=C(N[C@H]1CN2CCC1CC2)c1ccc(Cl)cc1,2.03,2.11,-0.08
132,CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,4.19,4.63,-0.44
133,COc1ccc2c(c1)-c1nc(NC(=O)c3ccc(C)cc3)sc1CC2,5.49,4.79,0.7
134,c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,5.96,5.85,0.11
135,CCCCOc1ccc(C(=O)NCc2ccco2)cc1,3.0,2.73,0.27
136,O=C(O)c1cc2ccccc2cc1Nc1ccccc1,5.36,4.85,0.51
137,Cc1cc(N2CCN(C)CC2)nc2ccc(NC(S)=NC3CC3)cc12,3.54,3.21,0.33
138,O=C(O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1,1.21,2.51,-1.3
139,N[C@H]1CCN(O)C1=O,-2.16,-1.09,-1.07
140,O=C(O)c1ccc(Cn2ccnc2)cc1,0.67,0.64,0.03
141,c1cc(-c2sc(-c3ccncc3)c(-c3ccncc3)c2-c2ccncc2)ccn1,3.47,5.22,-1.75
142,CCOC(=O)Cc1csc(NC(=O)c2cc(=O)c3ccccc3o2)n1,2.6,2.07,0.53
143,CCOCCCN=C(S)Nc1ccc2nc(N3CCN(CC)CC3)cc(C)c2c1,3.88,4.16,-0.28
144,COC(=O)c1ccc(Cn2cnc3c(Cl)ncnc32)cc1,2.48,2.43,0.05
145,C1CCc2nc3c(nc2C1)CCCC3,1.94,2.78,-0.84
146,O=C1NCCCc2c1oc1ccc(O)cc21,1.31,0.95,0.36
147,N#CC(C#N)=C/C(N)=C(/C#N)c1cc(O)c(O)c(O)c1,0.2,1.04,-0.84
148,NS(=O)(=O)c1cccnc1Nc1cccc(Cl)c1,2.0,1.96,0.04
149,CCOC(=O)N1CCN(C(=O)CSc2nnc(COc3ccc(Cl)cc3)o2)CC1,1.37,2.36,-0.99
150,O=C(c1cc(O)c(O)c([N+](=O)[O-])c1)c1ccccc1F,2.91,3.02,-0.11
151,CC(C)(Oc1ccc(Cl)cc1)C(=O)OCn1nnc2ccccc2c1=O,5.0,3.77,1.23
152,O=C1COc2c1ccc(O)c2O,0.47,0.79,-0.32
153,O=C(c1cccs1)N1CCN(c2cc(Cl)ccc2Cl)CC1,4.13,4.02,0.11
154,O=c1oc2cc(O)c(Cl)cc2c2ccccc12,3.23,3.35,-0.12
155,Clc1ccccc1N1CCN(Cc2nnc(-c3ccccc3)o2)CC1,3.34,3.78,-0.44
156,C(=C/c1ccccc1)\CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,5.83,5.69,0.14
157,COc1cc2c(cc1OC)[N+]([O-])=C(c1ccccc1)C2=O,-0.57,2.11,-2.68
158,O=S(=O)(c1cccs1)N1CCN(c2ncccn2)CC1,1.47,1.49,-0.02
159,COc1cc2oc(=O)cc(C)c2cc1[N+](=O)[O-],2.28,1.43,0.85
160,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1,4.76,3.96,0.8
161,C#CCN[C@@H]1CCc2ccccc21,2.3,2.49,-0.19
162,Cc1ccccc1Nc1c(-c2ccc(N3CCOCC3)cc2)nc2ccccn12,4.72,4.53,0.19
163,Cc1nc(O)nc(O)c1S(=O)(=O)N1CCCC1,0.31,0.87,-0.56
164,CN(CCc1ccc(Cl)c(Cl)c1)CCN1CCCC1,3.84,3.43,0.41
165,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,1.82,2.42,-0.6
166,Cc1ccc(/C=C2\CCOC2=O)cc1,2.95,2.61,0.34
167,Clc1ccccc1-c1nnc(-c2ccccc2Cl)o1,4.21,4.67,-0.46
168,Cc1ccn2c(Nc3ccc4c(c3)OCO4)c(-c3ccc(N(C)C)cc3)nc2c1,4.57,3.95,0.62
169,Cc1ccn(C(=O)c2ccc(NC(=O)CC(C)C)cc2)n1,2.25,2.6,-0.35
170,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1ccc(O)cc1,4.44,4.69,-0.25
171,N#CCSc1nnc2sc3ccccc3n12,1.49,2.07,-0.58
172,CCOc1ccc([C@@H](Nc2ccccn2)c2ccc3ccc(C)nc3c2O)cc1C,5.03,5.11,-0.08
173,CN1CCN(c2ccc([N+](=O)[O-])c3no[n+]([O-])c23)CC1,0.27,-0.26,0.53
174,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,4.81,4.65,0.16
175,CN1CCN(C(=O)c2ccc(-c3ccc(Br)cc3)o2)CC1,2.51,2.58,-0.07
176,CCOC(=O)c1cc(OCC)c2c(ccc3ccccc32)n1,3.87,4.05,-0.18
177,COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1,4.33,4.25,0.08
178,CN(C)c1ccc(/C=C2\Cc3ccccc3C2=O)cc1Br,4.77,4.22,0.55
179,NC(=O)c1nnsc1-c1ccc(-c2snnc2C(N)=O)cc1,0.91,0.69,0.22
180,CC(C)(C)NC(=O)c1ccc(C(=O)NC(C)(C)C)cc1,2.23,2.09,0.14
181,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,1.51,0.8,0.71
182,CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,2.18,2.26,-0.08
183,CN1[C@H]2CC[C@@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,1.57,1.59,-0.02
184,COc1cccc(-c2nc(CS(=O)(=O)CC(=O)N3CCN(c4ccccn4)CC3)c(C)o2)c1,1.66,2.35,-0.69
185,CN(C)c1cccc(/C=C(\C#N)c2ccccc2)c1,4.14,3.6,0.54
186,COc1ccc2c(c1)CCc1sc(NC(=O)c3ccc(Cl)cc3)nc1-2,5.58,4.96,0.62
187,Fc1ccc(OCc2nn3c(-c4cccnc4)nnc3s2)cc1,2.41,2.54,-0.13
188,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](C[C@H](F)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0.98,0.95,0.03
189,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,3.66,3.29,0.37
190,O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12,2.36,2.79,-0.43
191,COc1ccccc1N1C(=O)c2cccc3cccc(c23)C1=O,3.41,3.57,-0.16
192,CCN(CC)C(=O)c1ccc(C2=CC3(CCNCC3)Oc3cccc(O)c32)cc1,1.93,3.08,-1.15
193,CCCc1cc(NCCN(C)C)n2ncc(-c3ccccc3)c2n1,3.16,3.09,0.07
194,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C(=O)O)=C[C@H]21,5.14,4.11,1.03
195,O=[N+]([O-])c1cnc(Sc2ccncn2)s1,2.28,1.5,0.78
196,O=C1/C(=C2\Nc3ccccc3C2=O)Nc2ccccc21,2.65,2.09,0.56
197,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,5.61,5.01,0.6
198,Cc1ccc(S(=O)(=O)Cc2ccc(C(=O)N3CCN(c4ccccn4)CC3)o2)cc1,2.6,2.34,0.26
199,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,4.67,4.69,-0.02
200,O=C(c1sc2cccc(F)c2c1Cl)N1CCN(c2ncccn2)CC1,3.52,3.59,-0.07
201,Cc1[nH]c2ccccc2c1C(=O)C(=O)NC1CCCCC1,3.0,2.66,0.34
202,O=C(Nc1cccc2ccccc12)c1ccc(F)cc1,4.2,3.99,0.21
203,COc1c(C)cc(S(=O)(=O)NCCN2CCOCC2)c(C)c1C,1.99,1.18,0.81
204,COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O,0.75,-0.72,1.47
205,c1ccc2sc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc2c1,4.1,3.85,0.25
206,FC(F)(F)c1ccccc1-n1ccnc1,2.61,2.15,0.46
207,C[C@H]1CC[C@]2(NC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C,5.02,4.37,0.65
208,Fc1ccc(-c2csc(Nc3ccccn3)n2)cc1,4.31,4.13,0.18
209,COc1ccc(Cn2c(C(C)C)nc3sc4ccccc4c(=O)c3c2=O)cc1,4.31,4.63,-0.32
210,NCCNS(=O)(=O)c1cccc2c(Cl)cccc12,1.25,1.03,0.22
211,COc1ccc(C(=O)Oc2cccnc2O)cc1,3.2,2.51,0.69
212,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,0.54,1.97,-1.43
213,CCOc1ccc(NC(=O)c2cc3ccccc3cc2O)cc1,3.95,4.37,-0.42
214,CCOC(=O)c1nn(-c2ccccc2)cc1O,2.95,2.23,0.72
215,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,5.08,5.7,-0.62
216,CCN(CC)C(=O)c1ccc(O)c(OC)c1,1.52,1.47,0.05
217,CCCc1ccc(-c2cc(C(=O)N3CCN(c4ccccn4)CC3)c3ccccc3n2)cc1,5.98,5.31,0.67
218,Oc1ccnc2c(C(F)(F)F)cccc12,2.71,2.59,0.12
219,c1ccc(NCc2ccc(CNc3ccccn3)cc2)nc1,3.12,3.47,-0.35
220,O=C(Oc1coc(CSc2ncccn2)cc1=O)c1ccco1,2.14,2.29,-0.15
221,Cc1ccc(N2C(=O)c3ccc(C(=O)N4CCN(c5ccccc5F)CC4)cc3C2=O)cc1,4.27,4.06,0.21
222,COc1ccc(C(=O)Nc2nc(C)c3cc4c(cc3n2)OCO4)cc1,2.79,2.52,0.27
223,COC(=O)C(=Cc1ccccc1[N+](=O)[O-])C(=O)OC,2.42,1.6,0.82
224,CCCNC(=O)c1ccc(S(N)(=O)=O)cc1,0.53,-0.27,0.8
225,CCN(C(=O)c1ccco1)c1nc(-c2ccccc2)cs1,3.72,3.75,-0.03
226,O=S1(=O)CCN(Cc2ccccn2)CC1,-0.56,-0.71,0.15
227,Cc1cc(Cn2cnc3c2C[C@@H](C(=O)O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)ccc1N,2.34,3.63,-1.29
228,CCOC(=O)Cc1c(C)nc2c(-c3ccccc3OC)c(C)nn2c1C,2.75,3.57,-0.82
229,COc1cccc(OC)c1OCCNC[C@H]1COc2ccccc2O1,2.51,2.29,0.22
230,CC1=CC(=C2C=CC(=O)C=C2)C=C(C)N1C,1.46,1.94,-0.48
231,CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,3.21,3.28,-0.07
232,COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1,1.54,1.45,0.09
233,CCOc1ccc(/C=C2\CCc3ccccc3C2=O)cc1,4.53,4.54,-0.01
234,Cc1cccnc1Nc1nc(-c2ccc(F)cc2)cs1,4.82,4.41,0.41
235,CN1CN(C)C(c2ccncc2)=C1c1ccncc1,0.67,0.97,-0.3
236,COC(=O)c1ccccc1NCCO,1.41,0.83,0.58
237,Fc1cc(F)c2c(c1)[C@@H]1C=CC[C@@H]1[C@H](c1cccnc1)N2,3.05,3.18,-0.13
238,Cc1cc(C)n2nc(SCC(=O)N(C)Cc3ccccc3)nc2n1,2.38,2.46,-0.08
239,Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc21,1.61,1.48,0.13
240,O=C(Nc1ccc(F)cc1)N1CCCCCC1,2.76,2.22,0.54
241,Cc1ccc(Nc2nc(-c3ccc(C)cc3)c(CC(=O)O)s2)cc1,5.59,5.27,0.32
242,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,5.34,5.14,0.2
243,CCCSc1nc2c(c(=O)n(C)c(=O)n2C)n1C,1.54,1.1,0.44
244,Cc1ccc(Nc2c(-c3ccc(C)cc3)nc3cnccn23)cc1,4.13,4.53,-0.4
245,CC1(C)Oc2ccc(C#N)cc2[C@@H](OC2=CC(=O)CC2)[C@@H]1O,1.71,1.69,0.02
