,SMILES,Experimental LogP,Predicted LogP,Deviation
0,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,4.15,3.52,0.63
1,O=S(=O)(c1cccc2c(I)cccc12)N1CCCNCC1,2.47,3.17,-0.7
2,CNC(=O)c1c(-c2ccc(F)cc2)oc2cc(N(CCO)S(C)(=O)=O)c(C3CC3)cc12,1.6,2.64,-1.04
3,O=[N+]([O-])c1ccc(-c2cn3ccccc3n2)cc1,2.73,2.02,0.71
4,CCCCCCN1CCN(c2cccc(Cl)c2)CC1,4.75,4.17,0.58
5,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,1.51,1.28,0.23
6,Cc1cccc(-n2ncc3c(NCCCN4CCCC4=O)ncnc32)c1,1.64,2.75,-1.11
7,CCOC(=O)Cn1nc2oc(=O)c(CCN3CCN(c4ccccc4OC)CC3)c(C)c2c1C,2.98,2.75,0.23
8,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,2.29,2.88,-0.59
9,O=C(O)c1ccccc1-c1nc2ccccc2[nH]1,1.46,1.73,-0.27
10,COc1ccc(OC)c2sc(NC(=O)c3ccc(S(=O)(=O)N4CCCC4)cc3)nc12,3.03,2.91,0.12
11,CCOC(=O)c1ccc(N(C)c2csc(-c3ccccc3)n2)cc1,5.28,4.24,1.04
12,N#Cc1cc2c(nc1SCC(=O)N1CCOCC1)CCCCC2,2.19,2.81,-0.62
13,CCCSc1nc2c(c(=O)n(C)c(=O)n2C)n1C,1.54,1.12,0.42
14,Cc1nnc(Cc2ccccc2)c2[nH]nc(C)c12,1.33,2.07,-0.74
15,Cn1ccnc1SCC(=O)c1ccc([N+](=O)[O-])cc1,2.25,1.0,1.25
16,C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC[C@H]6C[C@@H](O)CC[C@]6(C)[C@H]5CC[C@@]43C)N2C1,5.29,4.67,0.62
17,CC(C)NC[C@H](O)c1ccc(N)c(C#N)c1,0.7,0.62,0.08
18,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]21,2.1,2.28,-0.18
19,O=[N+]([O-])c1cc(F)c2cccnc2c1O,1.91,1.65,0.26
20,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.94,3.43,0.51
21,CN(C)c1cccc(/C=C(\C#N)c2ccccc2)c1,4.14,4.14,0.0
22,Cc1cc2c3ccccc3ncn2n1,1.81,2.28,-0.47
23,CCOC(=O)Cc1cc(=O)oc2cc(O)ccc12,1.41,1.92,-0.51
24,CN1CC[C@]2(CCN3CCc4c(oc5ccccc45)[C@@H]3C2)N(C)C1=O,1.27,2.35,-1.08
25,CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1,5.25,4.53,0.72
26,COc1ccc(SCCc2ccncc2)cc1,3.14,2.81,0.33
27,CCc1c(C)nc(Nc2nc(C)c3ccc(OC)cc3n2)nc1O,3.65,3.35,0.3
28,c1ccc2c3c([nH]c2c1)CNCC3,1.59,2.17,-0.58
29,c1ccc2sc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc2c1,4.1,3.83,0.27
30,COc1ccc(/C=C2\N=C(c3ccccc3)OC2=O)c(OCc2ccccc2)c1,5.25,4.64,0.61
31,Cc1cccc(N(C(=O)c2cnc3n(c2=O)CCS3)C2CCCCC2)c1,3.86,3.24,0.62
32,COc1cc(N)c(Cl)cc1C(=O)OCCN1CCCCC1,2.46,2.28,0.18
33,CSc1c(N(C)C)c(=O)c1=S,1.73,1.64,0.09
34,Nc1cc([N+](=O)[O-])ccc1N1C(=O)CCCC1=O,0.44,0.98,-0.54
35,CCCCN1CN=C(Nc2nc(C)c3ccccc3n2)NC1,3.1,2.61,0.49
36,CCOC(=O)c1nn(-c2ccccc2)cc1O,2.95,2.08,0.87
37,Oc1ccc(-c2csc(Nc3ccccn3)n2)cc1O,3.56,2.61,0.95
38,CCOC(=O)c1nc(Nc2ccc(C(=O)OC)cc2)c2ccccc2n1,4.12,3.37,0.75
39,COc1ccc(CCN)cc1,1.23,1.73,-0.5
40,COc1ccc2[nH]cc(CCNCc3ccc(Br)cc3)c2c1,4.25,4.33,-0.08
41,O=P(Oc1ccccc1)(Oc1ccccc1)c1ccccc1,5.3,4.59,0.71
42,Clc1ccc(Nc2c(-c3ccccc3Cl)nc3ccc(Cl)cn23)cc1,6.13,5.09,1.04
43,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,3.52,3.33,0.19
44,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,6.09,4.19,1.9
45,Cc1cccc(-c2nc(Nc3ccc(C(=O)O)cc3)c3ccccc3n2)c1,5.3,4.31,0.99
46,CC(C)(C)NC[C@H](O)c1ccccc1Cl,2.56,2.34,0.22
47,Cc1cccnc1Nc1nc(-c2ccc(F)cc2)cs1,4.82,3.8,1.02
48,Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21,1.3,1.93,-0.63
49,CCc1ccc2c(-c3cccc(Cl)c3)nc(=O)n(CC)c2n1,3.95,3.85,0.1
50,COc1ccc(/C=C2/CCOC2=O)cc1,2.28,2.13,0.15
51,CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,3.45,3.67,-0.22
52,C=CCN(CC=C)S(=O)(=O)c1ccc(C(=O)Nc2nc3c(s2)CCc2ccccc2-3)cc1,5.65,4.73,0.92
53,c1ccc(-c2ccc(-c3nccc4ccccc34)[nH]2)cc1,4.35,4.74,-0.39
54,COc1ccc(-c2oc3c(CC=C(C)C)c(O)cc(O)c3c(=O)c2O)cc1,4.33,3.21,1.12
55,Oc1nc(-c2ccccc2)nc2sc(-c3ccccc3)cc12,5.52,4.39,1.13
56,Cc1c(C)c2cc3c(=O)ccoc3c(C)c2oc1=O,2.69,2.15,0.54
57,Cc1nc2ccccc2nc1SCC(=O)c1ccccc1,3.57,4.06,-0.49
58,Cc1ccn2c(Nc3ccc4c(c3)OCO4)c(-c3ccc(Cl)cc3)nc2c1,5.06,4.38,0.68
59,CCOC(=O)Cc1c(C)nc2c(-c3cccc(Br)c3)cnn2c1C,3.54,3.89,-0.35
60,COC(=O)c1cncc(C)c1,1.27,1.39,-0.12
61,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1,3.83,3.44,0.39
62,C(=C/c1ccc(/C=C/c2ccccc2)nn1)\c1ccccc1,4.92,4.94,-0.02
63,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,1.26,1.99,-0.73
64,COC(=O)CCN(C(=O)c1ccc(OC(C)=O)cc1)c1ccccn1,1.77,1.94,-0.17
65,COc1ccc(C(=O)COC(=O)c2cccs2)cc1,2.96,2.55,0.41
66,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,4.89,4.41,0.48
67,CCCOP(=S)(Nc1nc(N)cc(O)n1)OCCC,2.5,2.52,-0.02
68,Cc1cc(C(=O)NCCc2ccc(Cl)cc2)n(-c2ccccc2)n1,3.8,4.17,-0.37
69,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,4.94,3.71,1.23
70,CC(C)OC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,3.55,3.79,-0.24
71,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,2.72,2.78,-0.06
72,Cc1cccc2c3c(ccc12)C1=C(C(=O)C3=O)[C@@H](C)CO1,3.36,3.68,-0.32
73,CN1[C@H]2CC[C@@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,4.19,4.18,0.01
74,NC[C@H](O)C1CCCCCCC1,1.75,1.2,0.55
75,COc1ccc(OC)c(NS(=O)(=O)c2cccs2)c1,2.09,2.05,0.04
76,COc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,5.34,4.3,1.04
77,Cc1cc(=O)n2c3c(c4c(cc13)c(CN(C)C)cc(=O)n4C)OC2,0.76,2.17,-1.41
78,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,5.41,4.94,0.47
79,CC(C)(C)c1cc(C(C)(C)C)c2c(c1)[C@@](O)(C(F)(F)F)C(=O)O2,4.85,3.37,1.48
80,COc1cc(Cl)c(CC(=O)c2c[nH]c3ccccc23)cc1OC,3.75,3.61,0.14
81,Cc1ccc2nc(Nc3nc(C)cc(C(F)(F)F)n3)nc(C)c2c1,4.34,2.9,1.44
82,COC(CNC(=O)c1cc(C)nn1-c1ccccc1)OC,1.42,2.21,-0.79
83,CCOC(=O)Cc1csc(NC(=O)c2cc(=O)c3ccccc3o2)n1,2.6,2.7,-0.1
84,COc1ccc([C@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@H]2OC(C)=O)cc1,2.73,3.13,-0.4
85,CCCN1CCC(c2cccc(S(C)(=O)=O)c2)CC1,2.18,2.7,-0.52
86,O=C(Oc1coc(CSc2ncccn2)cc1=O)c1cccs1,2.99,2.28,0.71
87,CN(C)Cc1nc(-c2cn(C)c3ccccc23)no1,2.6,2.04,0.56
88,C=C1CC2(OC1=O)c1ccccc1CCc1ccccc12,4.69,4.17,0.52
89,Cc1ccc(C)c(N2CCN(c3ccncc3N)CC2)c1,2.8,3.58,-0.78
90,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccco1,3.95,3.12,0.83
