CompoundID,ChemOntID,ClassifiedResults
Q10034623-1,CHEMONTID:0000000,Kingdom: Organic compounds
Q10034623-1,CHEMONTID:0000264,Superclass: Organic acids and derivatives
Q10034623-1,CHEMONTID:0000472,Class: Hydroxy acids and derivatives
Q10034623-1,CHEMONTID:0001713,Subclass: Beta hydroxy acids and derivatives
Q10034623-1,CHEMONTID:0001713,Direct_parent: Beta hydroxy acids and derivatives
Q10034623-1,CHEMONTID:0000195,alternative_parents: Piperidines
Q10034623-1,CHEMONTID:0002279,alternative_parents: Benzene and substituted derivatives
Q10034623-1,CHEMONTID:0003449,alternative_parents: N-alkylpyrrolidines
Q10034623-1,CHEMONTID:0000392,alternative_parents: Morpholines
Q10034623-1,CHEMONTID:0002239,alternative_parents: Trialkylamines
Q10034623-1,CHEMONTID:0000347,alternative_parents: Amino acids and derivatives
Q10034623-1,CHEMONTID:0001238,alternative_parents: Carboxylic acid esters
Q10034623-1,CHEMONTID:0004139,alternative_parents: Azacyclic compounds
Q10034623-1,CHEMONTID:0004140,alternative_parents: Oxacyclic compounds
Q10034623-1,CHEMONTID:0001167,alternative_parents: Dialkyl ethers
Q10034623-1,CHEMONTID:0000159,alternative_parents: Epoxides
Q10034623-1,CHEMONTID:0001137,alternative_parents: Monocarboxylic acids and derivatives
Q10034623-1,CHEMONTID:0000286,alternative_parents: Primary alcohols
Q10034623-1,CHEMONTID:0001831,alternative_parents: Carbonyl compounds
Q10034623-1,CHEMONTID:0004150,alternative_parents: Hydrocarbon derivatives
Q10034623-1,CHEMONTID:0003940,alternative_parents: Organic oxides
Q10034623-1,NotAvailable,mMlecular_framework: Aromatic heteropolycyclic compounds
Q10034623-1,NotAvailable,"Substituents: [""Beta-hydroxy acid"", ""Monocyclic benzene moiety"", ""Morpholine"", ""Oxazinane"", ""Piperidine"", ""Benzenoid"", ""N-alkylpyrrolidine"", ""Pyrrolidine"", ""Amino acid or derivatives"", ""Carboxylic acid ester"", ""Tertiary aliphatic amine"", ""Tertiary amine"", ""Carboxylic acid derivative"", ""Dialkyl ether"", ""Oxirane"", ""Ether"", ""Monocarboxylic acid or derivatives"", ""Oxacycle"", ""Azacycle"", ""Organoheterocyclic compound"", ""Organic nitrogen compound"", ""Amine"", ""Hydrocarbon derivative"", ""Organic oxygen compound"", ""Organic oxide"", ""Organonitrogen compound"", ""Organooxygen compound"", ""Carbonyl group"", ""Alcohol"", ""Primary alcohol"", ""Aromatic heteropolycyclic compound""]"
Q10034623-1,NotAvailable,External_descriptors: []
Q10034623-1,NotAvailable,"Ancestors: [""Alcohols and polyols"", ""Amines"", ""Amino acids and derivatives"", ""Amino acids, peptides, and analogues"", ""Azacyclic compounds"", ""Benzene and substituted derivatives"", ""Benzenoids"", ""Beta hydroxy acids and derivatives"", ""Carbonyl compounds"", ""Carboxylic acid derivatives"", ""Carboxylic acid esters"", ""Carboxylic acids and derivatives"", ""Chemical entities"", ""Dialkyl ethers"", ""Epoxides"", ""Ethers"", ""Hydrocarbon derivatives"", ""Hydroxy acids and derivatives"", ""Monocarboxylic acids and derivatives"", ""Morpholines"", ""N-alkylpyrrolidines"", ""Organic acids and derivatives"", ""Organic compounds"", ""Organic nitrogen compounds"", ""Organic oxides"", ""Organic oxygen compounds"", ""Organoheterocyclic compounds"", ""Organonitrogen compounds"", ""Organooxygen compounds"", ""Organopnictogen compounds"", ""Oxacyclic compounds"", ""Oxazinanes"", ""Piperidines"", ""Primary alcohols"", ""Pyrrolidines"", ""Tertiary amines"", ""Trialkylamines""]"
