,SMILES,Experimental LogP,Predicted LogP,Deviation
0,Cn1cc(C=O)c2nccnc21,0.33,0.47,-0.14
1,CN1C(=C=Cc2cc(I)c(O)c(I)c2)C(C)(C)c2ccccc21,6.48,5.85,0.63
2,O=C(Nc1nccs1)c1ccc2c(c1)CCCC2,3.86,3.65,0.21
3,O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,1.41,0.65,0.76
4,CC1(C)CCC[C@@](C)([C@H]2CC[C@]3(C)[C@@H]2[C@H](O)C[C@@H]2[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4[C@@H](O)C[C@]23C)O1,4.32,4.9,-0.58
5,CC(C)(c1cc(Cl)c(O)c(CN2CCOCC2)c1)c1cc(Cl)c(O)c(CN2CCOCC2)c1,4.1,4.46,-0.36
6,O=C(COc1cc(O)c2c(=O)c3ccccc3oc2c1)OCc1ccccc1,4.5,4.14,0.36
7,CC(C)(C)c1cc(NCc2ccccn2)n2ncc(-c3ccccc3)c2n1,4.38,4.56,-0.18
8,CCOC(=O)Cc1c(C)nc2c(-c3cccc(Br)c3)cnn2c1C,3.54,4.56,-1.02
9,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,4.06,3.83,0.23
10,CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1,4.99,5.22,-0.23
11,O=C(C(=O)N1CCN(c2ccccc2)CC1)c1c[nH]c2ccccc12,2.97,3.02,-0.05
12,Cc1c(-c2ccc(Cl)cc2)noc1C1CCN(CCc2ccccc2)CC1,5.83,5.36,0.47
13,CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,1.8,2.17,-0.37
14,Clc1ccc(-c2cn3cccnc3n2)cc1,2.44,2.86,-0.42
15,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,3.69,3.81,-0.12
16,c1ccc2c(CC3=NCCN3)cccc2c1,2.19,2.54,-0.35
17,O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,1.41,0.65,0.76
18,O=[N+]([O-])c1cnc(Sc2ccncn2)s1,2.28,1.94,0.34
19,Cc1cc(NCCCN(C)C)n2c(nc3ccccc32)c1C#N,2.17,2.37,-0.2
20,COc1cc2c(cc1O)C[C@@H]1c3c(cc(O)c(OC)c3-2)CCN1C,2.78,2.9,-0.12
21,COc1ccc(S(=O)(=O)N2CCN(c3ccccn3)CC2)cc1OC,1.83,1.27,0.56
22,COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@@H]1O4,2.94,1.94,1.0
23,CCCC[C@@]1(C2CCCC2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,5.95,5.55,0.4
24,Cc1ccc(C)c(S(=O)(=O)Nc2ccc3scnc3c2)c1,3.63,3.75,-0.12
25,Cc1ccc(C)c(N2CCN(C(=O)C3CCN(S(=O)(=O)c4cccc5nsnc45)CC3)CC2)c1,3.65,2.85,0.8
26,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3,3.15,2.83,0.32
27,O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1,1.41,2.35,-0.94
28,Cc1ccc(/C=C2\CCOC2=O)cc1,2.95,2.91,0.04
29,CSc1nc2ccc(NS(=O)(=O)c3ccc(Br)s3)cc2s1,4.79,4.31,0.48
30,O=C(O)[C@@H]1CCCN(CCC=C(c2ccccc2)c2ccccc2)C1,1.74,3.84,-2.1
31,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.9,1.8,0.1
32,COc1ccc(CNCCSc2nnnn2C)cc1,1.61,1.15,0.46
33,O=C1c2cccc3cccc(c23)C(=O)N1c1cccnc1,2.35,2.77,-0.42
34,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,4.15,3.84,0.31
35,C[C@H](N)Cc1cccc(C(F)(F)F)c1,2.68,2.44,0.24
36,COc1ccccc1CNC(=O)c1cc(C)nn1-c1ccccc1,2.75,3.11,-0.36
37,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,3.16,2.73,0.43
38,CSc1ccc(-c2nc3cccc(C)n3c2Nc2ccc(Cl)cc2)cc1,5.75,5.92,-0.17
39,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.25,4.13,0.12
40,Cc1nn(-c2ccccc2)c(C)c1/C=N/N1CCN(Cc2ccccc2)CC1,3.56,4.28,-0.72
41,COc1cccc(-c2nc(CS(=O)(=O)CC(=O)N3CCN(c4ccccn4)CC3)c(C)o2)c1,1.66,2.1,-0.44
42,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,5.08,5.9,-0.82
43,Cc1ccccc1Nc1c(-c2ccc(O)cc2)nc2c(C)cccn12,5.05,4.91,0.14
44,CN(C)CCCN1c2ccc3ccccc3c2Sc2cccc(Cl)c21,5.52,5.88,-0.36
45,Cc1nc([N+](=O)[O-])c(Sc2nc3ccccc3[nH]2)n1Cc1ccccc1,4.71,3.67,1.04
46,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,4.1,3.89,0.21
47,COc1ccc(CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)c(OC)c1OC,5.08,5.06,0.02
48,NC(=O)c1cccn1Cc1ccccc1Cl,2.38,1.96,0.42
49,O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCc2ccccc21,2.66,2.53,0.13
50,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.38,4.84,-0.46
51,O=C(CCCN1CCC2(CC1)C(=O)N(Cc1cccc(F)c1)CN2c1ccccc1)c1ccc(F)cc1,5.16,4.98,0.18
52,c1cc2c3c(cccc3c1)NC1(CCC3(CC1)Nc1cccc4cccc(c14)N3)N2,4.49,6.23,-1.74
53,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,6.09,5.03,1.06
54,O=C(c1ccccc1)c1ccc(-c2ccc(O)cc2)cc1,4.78,4.99,-0.21
55,CCOC(=O)[C@]12C[C@H]1/C(=N\O)c1ccccc1O2,1.66,1.46,0.2
56,CN1CC[C@]23c4ccccc4N[C@H]1[C@]21CCN(C)[C@H]3Nc2ccccc21,2.85,1.95,0.9
57,Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCOC(=O)c1ccccc1,5.92,5.24,0.68
58,N#Cc1cnn(-c2cccc(Cl)c2)c1-n1cccc1,3.57,2.81,0.76
59,O=NC1=C(c2cccc([N+](=O)[O-])c2)Nc2ccccc2S1,3.27,4.07,-0.8
60,CCN(CC)CCNC(=O)c1ccc(-c2ccccc2)cc1,3.43,3.57,-0.14
61,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,2.55,2.91,-0.36
62,O=C1Cc2ccccc2N1c1c(Cl)cccc1Cl,3.8,4.16,-0.36
63,C[C@@](N)(C(=O)O)[C@H]1C[C@@H]1C(=O)O,-2.81,-1.7,-1.11
64,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,1.16,0.81,0.35
65,OCc1cccnc1,-0.01,0.01,-0.02
66,Cc1cc2cc3n(c2nn1)N=C(Cl)CC3,0.54,1.6,-1.06
67,CCc1cccc(C)c1Nc1c(-c2cccc(O)c2)nc2cnccn12,4.27,4.79,-0.52
68,COC(=O)C(=Cc1ccccc1[N+](=O)[O-])C(=O)OC,2.42,1.93,0.49
69,Nn1nnc2ccccc21,0.34,0.29,0.05
70,CC(C)(C)n1cc(C(=O)c2ccccc2)cc1-c1ccccc1,5.36,5.35,0.01
71,CN(C)CCNc1oc(COc2ccc(Cl)cc2)nc1C#N,1.98,2.35,-0.37
72,CC(C)(C)NCC[C@@H](O)c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12,4.31,4.48,-0.17
73,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,2.72,2.93,-0.21
74,COc1cc(OC)cc(C2(C#N)CCN(C)CC2)c1,1.7,1.68,0.02
75,COc1ccc(OC)c(NS(=O)(=O)c2cccs2)c1,2.09,2.02,0.07
76,O=C(/C=C/c1ccccc1Cl)c1ccc(O)cc1,4.19,4.5,-0.31
77,CCOc1ccc(S(=O)(=O)N2CCC(C(=O)N3CCc4ccccc4C3)CC2)cc1,2.7,2.73,-0.03
78,Oc1nccc(SCc2ccc(Cl)cc2Cl)n1,4.48,4.35,0.13
79,Cc1ccc(C)c(N2CCN(c3ccncc3N)CC2)c1,2.8,2.83,-0.03
80,COc1ccc(/C=C2\CCCc3ccccc3C2=O)cc1,4.62,4.55,0.07
81,CCN(CC)CCOC(=O)Cc1cccc2c(=O)cc(-c3ccccc3)oc12,3.48,3.84,-0.36
82,CC1(C)CC[C@]2(C(=O)n3ccnc3)CC[C@]3(C)[C@H](C(=O)C=C4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)C(C#N)=C[C@]43C)[C@@H]2C1,5.8,5.7,0.1
83,Cc1ccc2ccc(C#N)cc2c1O,3.03,2.93,0.1
84,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,3.15,3.14,0.01
85,CSc1nc(O)cc(Cl)n1,2.47,2.1,0.37
86,Nc1ccc2c(c1)CN1C(=O)c3ccccc3C1=N2,1.9,2.0,-0.1
87,O=C(Nc1ccc(Oc2ccc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc2)cc1)Nc1ccc([N+](=O)[O-])cc1,5.64,5.85,-0.21
88,O=C(Nc1c(-c2ccc(F)cc2)nc2ccccn12)c1cccc(F)c1,4.26,4.02,0.24
89,COc1cccc2c(C)nc(Nc3nc(O)cc(CSc4nnc(C)s4)n3)nc12,3.27,4.2,-0.93
90,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H](CN1CCCC1)c1cccc(OCC(=O)O)c1,1.26,3.78,-2.52
91,CCOc1ccc(/C=C2\CCc3ccccc3C2=O)cc1,4.53,4.76,-0.23
92,Nc1ccc(C(=O)Oc2ccc([N+](=O)[O-])cc2)cc1,2.75,2.54,0.21
93,Cc1ccccc1Nc1c(-c2ccccc2)nc2cccc(C)n12,5.03,5.25,-0.22
94,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,1.61,2.05,-0.44
95,c1ccc2sc(C3(NCC4CC4)CCCCC3)cc2c1,5.04,5.06,-0.02
96,CCCCOc1ccc(C(=O)NCc2ccco2)cc1,3.0,2.79,0.21
97,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,3.65,2.33,1.32
98,Cc1ccc(C(=O)N2CCN(C(=O)CN3CCCC3)C2)cc1,1.27,0.8,0.47
99,Oc1ccc(-c2nc3ncccn3c2Nc2ccc3c(c2)OCCO3)cc1,2.58,3.08,-0.5
100,Cc1ccccc1Nc1c(-c2ccc(N3CCOCC3)cc2)nc2cnccn12,3.51,4.36,-0.85
101,CC(C)(C)NC(=O)c1ccc(C(=O)NC(C)(C)C)cc1,2.23,2.31,-0.08
102,Cc1cc2nc(-c3ccccn3)c(-c3ccccn3)nc2cc1C,4.73,4.49,0.24
103,CCCOc1ccc(Br)cc1-c1cc(-c2ccc(Cl)cc2)[nH]c1-c1ccncc1,6.71,7.21,-0.5
104,Nc1ncnc2c1ncn2C1CCCC1,1.05,1.06,-0.01
105,Cc1cc2cc(CN3C(=O)c4ccccc4C3=O)ccc2[nH]1,2.94,2.89,0.05
106,COC(=O)CCc1sc(Nc2ccc(OC)cc2)nc1-c1ccc(OC)cc1,4.83,4.8,0.03
107,COC1=C(OC)C(=O)c2ccccc2C1=O,0.68,1.23,-0.55
108,CS(=O)(=O)Oc1ccc(Br)c2cccnc12,2.0,1.83,0.17
109,O=C(Nc1nc(-c2ccccc2)cs1)c1ccncc1,3.22,3.24,-0.02
110,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.15,3.25,-0.1
111,CCOC(=O)c1ccc(-c2c(C(=O)OCC)oc3cc(O)c(CC)cc3c2=O)o1,3.7,3.61,0.09
112,O=C1C2CCN(CC2)C1(CO)CO,-0.8,-1.04,0.24
113,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,3.42,2.92,0.5
114,O=[N+]([O-])c1ccc2[nH]c3nc4ccccc4nc3c2c1,3.11,2.88,0.23
115,O=S(=O)(c1cccc(-c2cn3ccccc3n2)c1)N1CCCC1,2.25,1.92,0.33
116,c1ccc2c(N3CCNCC3)cccc2c1,2.53,2.63,-0.1
117,O=C(O)CCn1nnc2ccccc2c1=O,1.73,0.17,1.56
118,CCCCN(CCCC)c1nc(-c2ccccc2)nc2ccccc12,7.14,6.18,0.96
119,Cc1cccc(N(C(=O)c2cnc3n(c2=O)CCS3)C2CCCCC2)c1,3.86,3.71,0.15
120,Fc1ccc(-c2ccc(-c3nn4c(-c5ccco5)nnc4s3)o2)cc1,3.7,3.46,0.24
121,CN1CCC=C(C(=O)N2c3ccccc3Sc3ccc(Cl)cc32)C1,4.05,3.98,0.07
122,CC(C)(OCc1nn(Cc2ccccc2)c2ccccc12)C(=O)O,3.58,3.19,0.39
